family,instrument,band_index,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_centre_hz,f_hi_hz,f_lo_hz,modes_per_band
plate,cymbal_16in_thin,0,0.0009239367814937024,,0.08744098191844814,0.010973826729471227,0.0011436656037033094,31.070005997851133,48.26726363532532,19.999999999999982,1.0
plate,cymbal_16in_thin,1,0.0009216252506068908,,0.07771773431645108,0.010631620618068282,0.001143328613389129,62.04115804080137,79.74567027716589,48.26726363532532,1.0
plate,cymbal_16in_thin,2,0.0,,0.0,0.0,0.0,95.6807360113951,114.80000371009025,79.74567027716589,0.0
plate,cymbal_16in_thin,3,0.0018338825936746316,,0.122297293073991,0.01993625806427942,0.002285286925182145,132.8925478326256,153.83648692246896,114.80000371009025,2.0
plate,cymbal_16in_thin,4,0.0,,0.0,0.0,0.0,174.22138513818598,197.30748957342993,153.83648692246896,0.0
plate,cymbal_16in_thin,5,0.0018234681628207328,,0.09354578318500772,0.018550820692922607,0.002283756273306647,220.18573768342424,245.71677022503872,197.30748957342993,2.0
plate,cymbal_16in_thin,6,0.0027265727109452966,,0.1209299231295826,0.026736099954181965,0.00342436112549081,271.33552007714667,299.62531408868983,245.71677022503872,3.0
plate,cymbal_16in_thin,7,0.0,,0.0,0.0,0.0,328.2721301869142,359.65783393574134,299.62531408868983,0.0
plate,cymbal_16in_thin,8,0.002707308147583655,,0.08661924057960935,0.024442808765739704,0.003421505635375407,391.6601411572962,426.51000950742576,359.65783393574134,3.0
plate,cymbal_16in_thin,9,0.0035953758462270295,,0.09571713367303113,0.03098637474529272,0.004559866077386811,462.2369334140603,500.9565493170786,426.51000950742576,4.0
plate,cymbal_16in_thin,10,0.0035798963716408057,,0.07806973364825852,0.02933536175804654,0.00455754347582722,540.822128965883,583.8601682679283,500.9565493170786,4.0
plate,cymbal_16in_thin,11,0.0,,0.0,0.0,0.0,628.3275372521083,676.1815851225036,583.8601682679283,0.0
plate,cymbal_16in_thin,12,0.004432995157728509,,0.061465651712932716,0.032398887327982615,0.005690349384575711,725.7679631618286,778.9906556781491,676.1815851225036,5.0
plate,cymbal_16in_thin,13,0.004413678582755985,,0.04729009181394511,0.030231007040300652,0.005686620899662449,834.2731048009164,893.4787706641346,778.9906556781491,5.0
plate,cymbal_16in_thin,14,0.005283665520602913,,0.04264924822682515,0.03371998109280448,0.006819074305166534,955.1007271246142,1020.9726620319176,893.4787706641346,6.0
plate,cymbal_16in_thin,15,0.005299701289154786,,0.03123933118125803,0.03131403322959484,0.006813768884589583,1089.651288384257,1162.94977763112,1020.9726620319176,6.0
plate,cymbal_16in_thin,16,0.005379573410933298,,0.022245408722254344,0.029223940404428363,0.006807987432225146,1239.484201797112,1321.055402438827,1162.94977763112,6.0
plate,cymbal_16in_thin,17,0.004649866703875737,,0.01279866650765103,0.023046770088087812,0.0056680707590747,1406.3359280729921,1497.1217247495472,1321.055402438827,5.0
plate,cymbal_16in_thin,18,0.004980028403595095,,0.008541743755306553,0.0223324250582387,0.00566234357768114,1592.1401126215692,1693.1890682721116,1497.1217247495472,5.0
plate,cymbal_16in_thin,19,0.004431118408112011,,0.004394240851205614,0.017813884633852372,0.004524877467465007,1799.050003290016,1911.5295361791561,1693.1890682721116,4.0
plate,cymbal_16in_thin,20,0.005094683579509293,,0.002713027863778573,0.018177270466877782,0.004519425681097054,2029.4634099536993,2154.6733411054515,1911.5295361791561,4.0
plate,cymbal_16in_thin,21,0.004472481484069736,,0.001201495295922083,0.014006629065518516,0.0033851079978607043,2286.0504961747515,2425.4381262171387,2154.6733411054515,3.0
plate,cymbal_16in_thin,22,0.008701177120345112,,0.0011260775536593543,0.02363129169768675,0.005633733150755969,2571.784725619831,2726.9616171356174,2425.4381262171387,5.0
plate,cymbal_16in_thin,23,0.0039735644432872235,,0.00024010320755567515,0.009235601926598523,0.00224995166138501,2889.9773222733784,3062.7379830990285,2726.9616171356174,2.0
plate,cymbal_16in_thin,24,0.0043723153573165556,,0.00012070660927968647,0.008571885526382229,0.0022460867217460006,3244.3156440657726,3436.658328728339,3062.7379830990285,2.0
plate,cymbal_16in_thin,25,0.07117721787313853,,0.0008817141573410814,0.11584894762592564,0.03473180760854737,3638.905914797386,3853.0557856320793,3436.658328728339,30.984690533828054
plate,cymbal_16in_thin,26,0.0791823233592972,,0.00043155688460021853,0.10515191531890636,0.038597912012518,4078.320809686421,4316.755726388418,3853.0557856320793,34.50453149191772
plate,cymbal_16in_thin,27,0.08370700930859545,,0.00019559400364274412,0.08898645998938012,0.04288611985839331,4567.652446074554,4833.131682803398,4316.755726388418,38.424224123747045
plate,cymbal_16in_thin,28,0.08435570052890026,,8.149155556135129e-05,0.07030739315795073,0.04764071789683409,5112.571393434344,5408.167616447384,4833.131682803398,42.78919132281987
plate,cymbal_16in_thin,29,0.08159443812259336,,3.096295739098395e-05,0.05211525018453721,0.052910244854263024,5719.392386557584,6048.527263084527,5408.167616447384,47.65001599419019
plate,cymbal_16in_thin,30,0.07657528178650536,,1.0635322842905476e-05,0.036556511383764846,0.05874781133254729,6395.147503469621,6761.631354584867,6048.527263084527,53.06302722845994
plate,cymbal_16in_thin,31,0.07075136605294213,,3.271029492543352e-06,0.024564569669075772,0.06521142273976079,7147.667656109318,7555.743613196125,6761.631354584867,59.09095306477129
plate,cymbal_16in_thin,32,0.06545423623616309,,8.914529295939641e-07,0.01604026814735453,0.07236429907904231,7985.673338139188,8440.066514709539,7555.743613196125,65.80364740725172
plate,cymbal_16in_thin,33,0.06159438399990442,,2.1282249705363638e-07,0.010310614321316913,0.0802751835416276,8918.87568152042,9424.847930259928,8440.066514709539,73.27889951870607
plate,cymbal_16in_thin,34,0.05956130558407361,,4.395380547373221e-08,0.00657051639845675,0.08901862957450889,9958.08899294587,10521.49988256573,9424.847930259928,81.60333547226422
plate,cymbal_16in_thin,35,0.0593000451921535,,7.74595722827374e-09,0.004145046004901787,0.0986752533620211,11115.35607425443,11742.730792801776,10521.49988256573,90.87342200736948
plate,cymbal_16in_thin,36,0.06048032364018208,,1.147439129358672e-09,0.002566019902727792,0.10933193540925641,12404.08777909383,13102.692750631822,11742.730792801776,101.19658442314655
plate,cymbal_16in_thin,37,0.06266945298927201,,1.405463492097315e-10,0.0015397090093454285,0.12108195107773355,13839.218423072582,14617.145514022386,13102.692750631822,112.69245146375872
plate,cymbal_18in_medium,0,0.0009489951209226576,,0.07623501740430516,0.009015394454819163,0.0012312107453274826,31.070005997851133,48.26726363532532,19.999999999999982,1.0
plate,cymbal_18in_medium,1,0.0,,0.0,0.0,0.0,62.04115804080137,79.74567027716589,48.26726363532532,0.0
plate,cymbal_18in_medium,2,0.0009442615960686474,,0.060250281971762555,0.008462909842137267,0.0012304866565950577,95.6807360113951,114.80000371009025,79.74567027716589,1.0
plate,cymbal_18in_medium,3,0.0018836198196684477,,0.10662433176574487,0.016378355047274282,0.0024602207230240212,132.8925478326256,153.83648692246896,114.80000371009025,2.0
plate,cymbal_18in_medium,4,0.0018784405735268492,,0.09366639232731626,0.01581783493565558,0.002459423911023673,174.22138513818598,197.30748957342993,153.83648692246896,2.0
plate,cymbal_18in_medium,5,0.0,,0.0,0.0,0.0,220.18573768342424,245.71677022503872,197.30748957342993,0.0
plate,cymbal_18in_medium,6,0.0028005208271336545,,0.10543219657669453,0.021964670411926332,0.0036864886029043713,271.33552007714667,299.62531408868983,245.71677022503872,3.0
plate,cymbal_18in_medium,7,0.0027909952530340548,,0.08981302914022028,0.02103829735169869,0.0036850111884667116,328.2721301869142,359.65783393574134,299.62531408868983,3.0
plate,cymbal_18in_medium,8,0.0037076450457825456,,0.1006914480030717,0.026774198650327832,0.004911219374884772,391.6601411572962,426.51000950742576,359.65783393574134,4.0
plate,cymbal_18in_medium,9,0.0,,0.0,0.0,0.0,462.2369334140603,500.9565493170786,426.51000950742576,0.0
plate,cymbal_18in_medium,10,0.0036769877097040378,,0.06806473775620753,0.02410005773221739,0.004906413624372079,540.822128965883,583.8601682679283,500.9565493170786,4.0
plate,cymbal_18in_medium,11,0.004575029572613199,,0.06818158364344196,0.02838696400252429,0.006129622910611539,628.3275372521083,676.1815851225036,583.8601682679283,5.0
plate,cymbal_18in_medium,12,0.004553223618781537,,0.05358854538564801,0.026616854481087616,0.006125933388458144,725.7679631618286,778.9906556781491,676.1815851225036,5.0
plate,cymbal_18in_medium,13,0.005440059784503525,,0.04947557852243217,0.029803035162140716,0.00734630339525492,834.2731048009164,893.4787706641346,778.9906556781491,6.0
plate,cymbal_18in_medium,14,0.005426965242722741,,0.037183550659174135,0.027702180657204954,0.0073410597735224,955.1007271246142,1020.9726620319176,893.4787706641346,6.0
plate,cymbal_18in_medium,15,0.005443435921692105,,0.0272358670276964,0.025725607711478356,0.007335348234413701,1089.651288384257,1162.94977763112,1020.9726620319176,6.0
plate,cymbal_18in_medium,16,0.009209123794825632,,0.03232426191738111,0.04001420178591676,0.012215207040513772,1239.484201797112,1321.055402438827,1162.94977763112,10.0
plate,cymbal_18in_medium,17,0.0038207815974464444,,0.008926766763645604,0.015147002290141,0.004881559505681986,1406.3359280729921,1497.1217247495472,1321.055402438827,4.0
plate,cymbal_18in_medium,18,0.004092074481050593,,0.00595766396545028,0.01467751412491355,0.00487662703783519,1592.1401126215692,1693.1890682721116,1497.1217247495472,4.0
plate,cymbal_18in_medium,19,0.006826943953996381,,0.005746647974792905,0.02195212308877408,0.007306870655014965,1799.050003290016,1911.5295361791561,1693.1890682721116,6.0
plate,cymbal_18in_medium,20,0.002616428935637115,,0.0011826704245294405,0.007466641647017077,0.0024326889972285915,2029.4634099536993,2154.6733411054515,1911.5295361791561,2.0
plate,cymbal_18in_medium,21,0.004593780864462787,,0.0010475181406498595,0.01150695095894494,0.0036442307327984556,2286.0504961747515,2425.4381262171387,2154.6733411054515,3.0
plate,cymbal_18in_medium,22,0.03387498011014335,,0.0037212349925673065,0.07358569776218084,0.022988409578485008,2571.784725619831,2726.9616171356174,2425.4381262171387,18.951750093295402
plate,cymbal_18in_medium,23,0.04306756135702941,,0.0022089492439981147,0.08006452613814298,0.02555964528249384,2889.9773222733784,3062.7379830990285,2726.9616171356174,21.104656740306666
plate,cymbal_18in_medium,24,0.05277284048266415,,0.0012366528354785656,0.08275233681653629,0.028414310834772666,3244.3156440657726,3436.658328728339,3062.7379830990285,23.502132200642553
plate,cymbal_18in_medium,25,0.06175211057709213,,0.0006493163908025484,0.08039106861504679,0.03158273948718487,3638.905914797386,3853.0557856320793,3436.658328728339,26.171959334528278
plate,cymbal_18in_medium,26,0.06869720022703633,,0.00031780929953493647,0.072968076211631,0.035098311426228254,4078.320809686421,4316.755726388418,3853.0557856320793,29.14507711727828
plate,cymbal_18in_medium,27,0.07262273869870965,,0.00014404032355669395,0.06175038062422119,0.03899771547653322,4567.652446074554,4833.131682803398,4316.755726388418,32.45593917194645
plate,cymbal_18in_medium,28,0.07318553186713678,,6.001242273068417e-05,0.04878841442527714,0.04332122299180002,5112.571393434344,5408.167616447384,4833.131682803398,36.14291303105149
